Date,Name,Year,Letterboxd URI,Rating
2021-02-12,The Platform,2019,https://boxd.it/mUm6,4.5
2021-02-12,The Devil All the Time,2020,https://boxd.it/i2tY,2
2021-02-12,BlacKkKlansman,2018,https://boxd.it/hxL8,4
2021-02-12,Deepwater Horizon,2016,https://boxd.it/9oiU,3.5
2021-02-12,My Cousin Vinny,1992,https://boxd.it/1WpO,4
2021-02-12,Searching,2018,https://boxd.it/hDPg,4.5
2021-02-12,Sorry to Bother You,2018,https://boxd.it/f21E,3
2021-02-12,Trading Places,1983,https://boxd.it/28sK,3.5
2021-02-12,American Murder: The Family Next Door,2020,https://boxd.it/rUk0,3.5
2021-02-12,Die Hard,1988,https://boxd.it/2a7u,4
2021-02-12,The Social Dilemma,2020,https://boxd.it/opQI,3.5
2021-02-12,Nacho Libre,2006,https://boxd.it/1YTG,3.5
2021-02-12,Knives Out,2019,https://boxd.it/jWEA,5
2021-02-12,Parasite,2019,https://boxd.it/hTha,4.5
2021-02-12,What Dreams May Come,1998,https://boxd.it/1SoM,3.5
2021-02-12,Extreme Job,2019,https://boxd.it/kOQg,4
2021-02-12,Jumanji: The Next Level,2019,https://boxd.it/ixu4,3.5
2021-02-12,Lady Bird,2017,https://boxd.it/dGNE,4
2021-02-12,The Shining,1980,https://boxd.it/29Nu,3.5
2021-02-12,Joker,2019,https://boxd.it/h4cS,3.5
2021-02-12,Eat Pray Love,2010,https://boxd.it/16Cc,2
2021-02-12,The Invisible Man,2020,https://boxd.it/kWlA,5
2021-02-12,5 Centimeters per Second,2007,https://boxd.it/16G4,5
2021-02-12,Your Name.,2016,https://boxd.it/cUqs,5
2021-02-12,Men in Black,1997,https://boxd.it/2a0I,3.5
2021-02-12,Ip Man 2,2010,https://boxd.it/18gs,3
2021-02-12,Ip Man,2008,https://boxd.it/1NrQ,3
2021-02-12,The Disaster Artist,2017,https://boxd.it/cTqc,4
2021-02-12,Harriet,2019,https://boxd.it/ijo2,3
2021-02-12,Once Upon a Time in China,1991,https://boxd.it/1VOy,3
2021-02-12,Gone Girl,2014,https://boxd.it/6hQu,4
2021-02-12,A Simple Favor,2018,https://boxd.it/hq92,3.5
2021-02-12,Late Night,2019,https://boxd.it/iZq0,3.5
2021-02-12,Gemini Man,2019,https://boxd.it/gaUu,3
2021-02-12,American Psycho,2000,https://boxd.it/28Vs,4
2021-02-12,Hustlers,2019,https://boxd.it/jIBM,3
2021-02-12,It Chapter Two,2019,https://boxd.it/h10u,4
2021-02-12,Aladdin,2019,https://boxd.it/eSjy,5
2021-02-12,Aladdin,1992,https://boxd.it/29yE,5
2021-02-12,Baby Driver,2017,https://boxd.it/bhF2,4
2021-02-12,Bring It On,2000,https://boxd.it/28x6,3.5
2021-02-12,It,2017,https://boxd.it/bC8e,4
2021-02-12,Christine,2016,https://boxd.it/bhFm,4
2021-02-12,Ready or Not,2019,https://boxd.it/kOf0,5
2021-02-12,Good Boys,2019,https://boxd.it/iW1G,4
2021-02-12,47 Meters Down: Uncaged,2019,https://boxd.it/hflG,2.5
2021-02-12,Scary Stories to Tell in the Dark,2019,https://boxd.it/eJTW,2
2021-02-12,Them That Follow,2019,https://boxd.it/hvwg,0.5
2021-02-12,Once Upon a Time… in Hollywood,2019,https://boxd.it/gH0O,4
2021-02-12,The Farewell,2019,https://boxd.it/kIky,4.5
2021-02-12,Jaws,1975,https://boxd.it/2a5e,4
2021-02-12,Crawl,2019,https://boxd.it/iwYi,3
2021-02-12,Midsommar,2019,https://boxd.it/jhxe,4
2021-02-12,Confession of Murder,2012,https://boxd.it/4uK6,3
2021-02-12,Bad Genius,2017,https://boxd.it/ggpM,5
2021-02-12,The Amazing Spider-Man,2012,https://boxd.it/27PI,2.5
2021-02-12,Spider-Man: Homecoming,2017,https://boxd.it/aboM,3
2021-02-12,Toy Story 4,2019,https://boxd.it/9ALu,3
2021-02-12,Child's Play,2019,https://boxd.it/jpX0,3.5
2021-02-12,The Secret Life of Pets,2016,https://boxd.it/aJ5E,3.5
2021-02-12,The Secret Life of Pets 2,2019,https://boxd.it/ewPM,2.5
2021-02-12,Rocketman,2019,https://boxd.it/iehK,4
2021-02-12,Ma,2019,https://boxd.it/i8Wi,3
2021-02-12,Godzilla: King of the Monsters,2019,https://boxd.it/cY7Y,1
2021-02-12,Jurassic World: Fallen Kingdom,2018,https://boxd.it/bOnU,2.5
2021-02-12,Zombieland,2009,https://boxd.it/1En6,3.5
2021-02-12,Rampant,2018,https://boxd.it/jzsc,2
2021-02-12,Big Hero 6,2014,https://boxd.it/5rje,4
2021-02-12,17 Again,2009,https://boxd.it/1Jnq,3.5
2021-02-12,Forrest Gump,1994,https://boxd.it/728,5
2021-02-12,Soul Mate,2016,https://boxd.it/eJXY,4
2021-02-12,Avengers: Endgame,2019,https://boxd.it/9vE4,3
2021-02-12,Jumanji,1995,https://boxd.it/1ZLI,3.5
2021-02-12,October Sky,1999,https://boxd.it/1Q7u,4
